epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10471.1,1.51239,2.82639,1.91163,0.21456,0.20267,0.12006,0.04206,1.85705,3.07159,2.07799,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,10804.4,1.50752,2.80941,1.90608,0.21398,0.20483,0.12127,0.04269,1.85606,3.06757,2.07562,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,11098.6,1.512,2.80546,1.90935,0.21146,0.20681,0.12142,0.04277,1.85344,3.06962,2.07375,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,11392.8,1.49955,2.78204,1.90323,0.21243,0.20786,0.1221,0.04301,1.85127,3.06974,2.07254,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,11686.7,1.4997,2.77047,1.90064,0.21143,0.21116,0.12225,0.04288,1.84988,3.06583,2.07029,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,11979.7,1.50073,2.76027,1.89642,0.21236,0.21073,0.12288,0.04318,1.84955,3.06286,2.06868,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,12275.4,1.49802,2.75995,1.8933,0.2168,0.20956,0.1244,0.04331,1.84896,3.06032,2.06862,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,12562.8,1.49212,2.72902,1.88688,0.21513,0.21025,0.12454,0.04349,1.84963,3.0596,2.06899,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,12849.4,1.48674,2.72554,1.88832,0.21598,0.21134,0.12468,0.04338,1.84994,3.05941,2.06902,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,13134.2,1.48868,2.71332,1.88818,0.21683,0.21161,0.12497,0.04347,1.84997,3.05904,2.0685,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,13423.1,1.4813,2.70254,1.88237,0.21656,0.21291,0.12517,0.04367,1.8497,3.05824,2.06794,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,13711.9,1.47787,2.69239,1.87691,0.2197,0.2114,0.12531,0.04383,1.8496,3.05736,2.0672,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,13999,1.48321,2.6728,1.87896,0.21719,0.2096,0.12507,0.04375,1.85065,3.05566,2.0681,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,14284.8,1.47587,2.65526,1.87387,0.21882,0.21018,0.12456,0.04373,1.85158,3.05396,2.06874,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,14568.8,1.46725,2.64685,1.86675,0.22275,0.21036,0.12471,0.04372,1.85163,3.05286,2.06829,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
