epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32862.7,2.16155,2.7649,1.84921,0.18597,0.18127,0.09944,0.03557,2.18274,2.84542,1.9128,0.0005941,0.0005941,0.0005941
43,33657.9,2.16267,2.75633,1.84561,0.18814,0.18427,0.09972,0.03536,2.18252,2.84043,1.91239,0.0005842,0.0005842,0.0005842
44,198.399,2.15194,2.74758,1.84121,0.1859,0.18345,0.09898,0.03524,2.18242,2.83967,1.91187,0.0005743,0.0005743,0.0005743
45,386.923,2.15531,2.74274,1.84134,0.18515,0.18612,0.09977,0.03512,2.18275,2.83844,1.91025,0.0005644,0.0005644,0.0005644
46,574.162,2.15627,2.74488,1.83844,0.18351,0.18698,0.10066,0.03544,2.18187,2.83646,1.90813,0.0005545,0.0005545,0.0005545
47,762.2,2.15709,2.73354,1.83308,0.18718,0.18565,0.10107,0.03573,2.18184,2.83428,1.90797,0.0005446,0.0005446,0.0005446
48,949.711,2.14962,2.72958,1.8304,0.18597,0.18673,0.10148,0.0359,2.17964,2.83152,1.90741,0.0005347,0.0005347,0.0005347
49,1136.5,2.13399,2.71587,1.82841,0.18558,0.18627,0.10143,0.03612,2.17964,2.83093,1.90756,0.0005248,0.0005248,0.0005248
50,1320.45,2.13676,2.71282,1.82787,0.18475,0.18593,0.10169,0.03619,2.18045,2.8317,1.90773,0.0005149,0.0005149,0.0005149
51,1503.67,2.13159,2.69382,1.81694,0.18403,0.18864,0.10163,0.03626,2.18145,2.8304,1.90756,0.000505,0.000505,0.000505
52,1685.88,2.13509,2.69989,1.82757,0.1852,0.18754,0.10226,0.03656,2.18169,2.8284,1.90726,0.0004951,0.0004951,0.0004951
53,1869.24,2.12584,2.68603,1.82252,0.18483,0.18662,0.10241,0.03681,2.18255,2.82806,1.9078,0.0004852,0.0004852,0.0004852
54,2054.22,2.12021,2.67935,1.81496,0.18579,0.18898,0.10297,0.03692,2.18251,2.82745,1.90749,0.0004753,0.0004753,0.0004753
55,2236.73,2.11114,2.66614,1.80444,0.18542,0.18794,0.10313,0.03697,2.18178,2.82719,1.9065,0.0004654,0.0004654,0.0004654
56,2420.62,2.1102,2.65762,1.8053,0.1848,0.19007,0.10476,0.03741,2.18177,2.82542,1.90666,0.0004555,0.0004555,0.0004555
57,2627.55,2.10882,2.65302,1.80204,0.18489,0.18935,0.10439,0.03758,2.18163,2.82477,1.90616,0.0004456,0.0004456,0.0004456
58,2836.29,2.1037,2.6428,1.79608,0.18369,0.18803,0.10389,0.03755,2.18157,2.82431,1.90584,0.0004357,0.0004357,0.0004357
59,3043.32,2.09892,2.62573,1.79183,0.18349,0.18973,0.10428,0.03787,2.18179,2.82428,1.9057,0.0004258,0.0004258,0.0004258
60,3256.95,2.0985,2.62574,1.79483,0.18294,0.19079,0.10427,0.03796,2.1816,2.82266,1.90529,0.0004159,0.0004159,0.0004159
61,3465.73,2.08925,2.61505,1.78615,0.18391,0.19004,0.10463,0.03804,2.18183,2.82234,1.90584,0.000406,0.000406,0.000406
62,3665.14,2.08885,2.60638,1.78794,0.18525,0.18967,0.10479,0.03798,2.18199,2.82177,1.90614,0.0003961,0.0003961,0.0003961
